"","score","text","review"
"78",2,"RT @NH_India: #Congress President Rahul Gandhi alleged that Finance Minister Arun Jaitley was silent on the #PNBFraud case to ""protect his…","positive"
"79",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"80",2,"RT @NH_India: #Congress President Rahul Gandhi alleged that Finance Minister Arun Jaitley was silent on the #PNBFraud case to ""protect his…","positive"
"81",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"82",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"83",-1,"RT @ndtv: Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam #PNBFraud http…","negative"
"84",-1,"Nirav Modi got 1,213 fraudulent guarantees in six years: Arun Jaitley https://t.co/X2d99KzMFu

#NiravModi #PNBScam… https://t.co/I1dN6kF1ai","negative"
"85",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"86",0,"@mangeshkarlata Farmers pulled me to #AzadMaidan
*Swaminathan Report 
*Loan Waiver 
*Ration Card 
*Land Rights 
*El… https://t.co/D6KNbvGiIP","neutral"
"87",0,"RT @SandipGhose: ""Vendetta nahin Mandate-ta"" - why @narendramodi now needs to go full steam against scamsters to discharge his mandate to t…","neutral"
"88",1,"RT @ndtv: Lead story now on https://t.co/Fbzw6mR9Q5: https://t.co/VvKHsN3sLL

#NDTVLeadStory #PNBScam #PNBFraudCase https://t.co/iiWWBEBF94","positive"
"89",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"90",0,"RT @dilbagkoundal: This is MUST Done! After #PNBScam #RBI stops use of #LoUs for trade credit for imports      
The RBI said the  decision…","neutral"
"91",-1,"RT @ETNOWlive: #ETNOWExplainer | Rs 12,600 cr #PNBScam has pushed @RBI to take firm action to avoid a repeat of the fiasco as it today bann…","negative"
"92",0,"RT @_itswish: #NiravModi has sent mail to #PNB
#PNBFraudCase 
#PNBScam https://t.co/7Twu0qTNXj","neutral"
"93",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"94",-1,"#ETNOWExplainer | Rs 12,600 cr #PNBScam has pushed @RBI to take firm action to avoid a repeat of the fiasco as it t… https://t.co/yx2VI8bace","negative"
"95",0,"@WithRitesh O God give me money like PNB that I can not count how much I lost, given or landed to others....#PNBScam","neutral"
"96",0,"This is MUST Done! After #PNBScam #RBI stops use of #LoUs for trade credit for imports      
The RBI said the  deci… https://t.co/Vb2zOIpUG8","neutral"
"97",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"98",0,"RT @MahikaInfra: ""NATION WANTS TO KNOW""

When will ""Lutyen Media"" start grilling @PChidambaram_IN
&amp; RaghuRam Rajan in #PNBScam for their ""D…","neutral"
"99",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"100",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"101",-2,"RT @indiacharts: “PSU Banks Are A Train Wreck In Slow Motion” a Year of charts here https://t.co/e2WBMLDZ5J #PNBScam #PSU #psubanks #Public…","negative"
"102",0,"RT @MahikaInfra: ""NATION WANTS TO KNOW""

When will ""Lutyen Media"" start grilling @PChidambaram_IN
&amp; RaghuRam Rajan in #PNBScam for their ""D…","neutral"
"103",2,"RT @NH_India: #Congress President Rahul Gandhi alleged that Finance Minister Arun Jaitley was silent on the #PNBFraud case to ""protect his…","positive"
"104",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"105",0,"RT @_itswish: #NiravModi has sent mail to #PNB
#PNBFraudCase 
#PNBScam https://t.co/7Twu0qTNXj","neutral"
"106",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"107",-2,"RT @rajeev_mp: I hv filed in #Parliament RS tdy undr rule 176 calling for Discussion on the 

1. PNB Bank fraud n banking system rot 
2. Ph…","negative"
"108",0,"#NiravModi has sent mail to #PNB
#PNBFraudCase 
#PNBScam https://t.co/7Twu0qTNXj","neutral"
"109",0,"RT @AITCofficial: #BudgetSession #RajyaSabha Sukhendu Sekhar Roy makes a Point of Order regarding #PNBScam | WATCH https://t.co/G3oHy1oduS","neutral"
"110",0,"@AITCofficial #PNBScam growing day by day.. CBI  now states it is Rs. 13,600 Crores/- and people in Fin Minstry sit… https://t.co/FnMajHVwrV","neutral"
"111",-2,"RT @rajeev_mp: I hv filed in #Parliament RS tdy undr rule 176 calling for Discussion on the 

1. PNB Bank fraud n banking system rot 
2. Ph…","negative"
"112",0,"RT @atmadiprayET: Death of a banking instrument: RBI banned Letter of Undertaking or Letter of Comfort for trade finance for importing good…","neutral"
"113",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"114",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"115",0,"RT @atmadiprayET: Death of a banking instrument: RBI banned Letter of Undertaking or Letter of Comfort for trade finance for importing good…","neutral"
"116",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"117",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"118",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"119",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"120",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"121",0,"RT @Im_ASIF007: What's Happening in DIGITAL INDIA... #DigitalIndia #PNBScam #sscscam #SSCExamScam #India #RRBC #PiyushGoyal #pmoindia #rail…","neutral"
"122",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"123",-1,"RT @teekaytee: #PNBScam fallout. #RBI has discontinued Letters of Undertaking (LoUs) and Letters of Comfort (LoCs) for Trade credits.","negative"
"124",-1,"RT @teekaytee: #PNBScam fallout. #RBI has discontinued Letters of Undertaking (LoUs) and Letters of Comfort (LoCs) for Trade credits.","negative"
